Time (s),Signal (a.u.)
0.0,2.084053435913771
0.05,1.9558509691139025
0.1,1.9422583281674746
0.15000000000000002,1.8328804528430451
0.2,2.238318561113751
0.25,2.2342898765476495
0.30000000000000004,2.251099893445199
0.35000000000000003,2.333683904568063
0.4,2.4356232434643847
0.45,2.4427245948596084
0.5,2.06831043729819
0.55,2.5802913372207468
0.6000000000000001,2.183004396880329
0.65,2.4536583070320894
0.7000000000000001,2.500466157220944
0.75,2.6006566141303322
0.8,3.023936123937168
0.8500000000000001,2.5510749954370566
0.9,2.84694894161997
0.9500000000000001,2.307709223430969
1.0,2.5789013322649854
1.05,2.3593231953747473
1.1,2.75650171798999
1.1500000000000001,2.5321668953680803
1.2000000000000002,2.225192359415677
1.25,2.5825835986460186
1.3,2.2208721526152875
1.35,2.3563864988324354
1.4000000000000001,2.287291747665686
1.4500000000000002,2.1357024177720314
1.5,2.2857094214614744
1.55,2.1415916758942553
1.6,1.7992208351204655
1.6500000000000001,1.7671005241237803
1.7000000000000002,1.4743369914882
1.75,1.5404939241246143
1.8,1.3708775074769655
1.85,1.6116246853519398
1.9000000000000001,1.3328399570884308
1.9500000000000002,1.2973282709793226
2.0,1.2810864812009122
2.0500000000000003,0.9257877317476777
2.1,0.5600192651725396
2.15,0.7982219264466328
2.2,0.43509630567561675
2.25,0.5636961615154235
2.3000000000000003,0.6082590722235623
2.35,0.2217737603734627
2.4000000000000004,-0.15619888715907568
2.45,-0.20857227872115158
2.5,-0.03521641812934591
2.5500000000000003,-0.24427635092823463
2.6,-0.3766868939795036
2.6500000000000004,-0.5967318157370028
2.7,-0.8391475775508747
2.75,-0.6303445937599508
2.8000000000000003,-0.8694094273302445
2.85,-0.5395001293938994
2.9000000000000004,-1.0701487565945798
2.95,-1.0533703159145167
3.0,-1.3005728119299362
3.0500000000000003,-1.3271561772485534
3.1,-1.3404927923553849
3.1500000000000004,-1.7796843567696836
3.2,-1.5481248352129269
3.25,-1.7881871175553625
3.3000000000000003,-1.5911294809446865
3.35,-1.929470299332197
3.4000000000000004,-2.1479443237263958
3.45,-2.3432942575248483
3.5,-1.662966389812687
3.5500000000000003,-1.8681625677848013
3.6,-2.0816629711458434
3.6500000000000004,-1.9198729502918197
3.7,-1.9587272263556927
3.75,-1.7617596787850773
3.8000000000000003,-1.7426507276318293
3.85,-2.3835232335581322
3.9000000000000004,-2.091715148786394
3.95,-1.9415394584967922
4.0,-1.897340936967816
4.05,-2.0729433477237507
4.1000000000000005,-2.0992949007652766
4.15,-1.973676988570728
4.2,-1.6353034890416973
4.25,-1.7314441405190872
4.3,-1.6690216761959689
4.3500000000000005,-1.7662309804158778
4.4,-1.780458948420804
4.45,-1.3308726615273914
4.5,-1.4836676207564747
4.55,-1.6640780560978854
4.6000000000000005,-1.5024417808948631
4.65,-1.2676336587140251
4.7,-1.0078380724876062
4.75,-1.4016700324229316
4.800000000000001,-0.7009195826229402
4.8500000000000005,-0.8950253855837449
4.9,-0.7764588665068219
4.95,-0.6914225674286997
5.0,-0.21996231279584832
5.050000000000001,-0.546380171797704
5.1000000000000005,0.05490386987054224
5.15,0.0007298193415354037
