Time (s)	Distance (m)
0.0	0.0
0.1	0.051840172122670516
0.2	0.6896419323732792
0.30000000000000004	0.43881841991619963
0.4	1.2397910267024184
0.5	1.3776878482141264
0.6000000000000001	2.261998556675663
0.7000000000000001	1.171453035589148
0.8	2.442776131940395
0.9	2.8673738302881686
1.0	5.662901296918748
1.1	2.942431052260097
1.2000000000000002	6.7330409694838576
1.3	10.18617498527786
1.4000000000000001	10.878372108293153
1.5	11.327244011559962
1.6	10.007151467737302
1.7000000000000002	14.122377962421519
1.8	19.98668779170247
1.9000000000000001	21.623997884167785
2.0	20.5379693078602
2.1	18.208896678275114
2.2	23.03096616587034
2.3000000000000003	19.435597008914108
2.4000000000000004	21.222146499984966
2.5	33.471162410616074
2.6	37.9996197783582
2.7	37.41218806857996
2.8000000000000003	43.51329785587325
2.9000000000000004	44.08435098888593
3.0	36.592052654757836
3.1	46.803408559709304
3.2	50.93453531799278
3.3000000000000003	51.11770486194963
3.4000000000000004	53.789605381287714
3.5	62.180552260611336
3.6	64.17492671662004
3.7	78.12874418822094
3.8000000000000003	79.05465998435625
3.9000000000000004	69.83263448654102
4.0	80.6354898060365
4.1000000000000005	86.96921523679715
4.2	88.84287011207091
4.3	80.31173779069326
4.4	94.45054264579795
4.5	97.1940663364547
4.6000000000000005	111.96532778104704
4.7	108.58901200890526
4.800000000000001	119.48198672896147
4.9	101.69397459909574
